timestamp,open,high,low,close,volume
2020-01-16,245.0000,245.5200,241.7900,243.7100,1408518
2020-01-15,245.1500,246.0429,243.3900,243.4900,996886
2020-01-14,246.2800,247.5100,243.4500,243.7700,1644341
2020-01-13,238.5700,245.3500,238.1100,245.1800,4111100
2020-01-10,236.2100,236.2777,233.2600,234.8400,1178265
2020-01-09,239.2200,239.4700,235.2900,235.9000,1141626
2020-01-08,234.8800,238.0100,234.0100,237.2700,1884976
2020-01-07,235.5000,236.8500,233.3400,233.7000,1375380
2020-01-06,231.4900,235.5300,230.8000,235.4300,1461113
2020-01-03,231.2400,234.5000,230.2300,232.6400,1316345
2020-01-02,232.9000,233.4700,231.7650,233.4200,1439799
2019-12-31,231.1400,232.0000,229.6700,231.6700,943316
2019-12-30,229.8000,231.7500,227.5300,230.8300,1204373
2019-12-27,232.5600,232.7900,229.7600,230.0200,1516603
2019-12-26,229.3900,233.4212,229.3100,231.1700,1794241
2019-12-24,228.4700,229.4100,227.1100,229.0300,613562
2019-12-23,230.8000,231.1400,227.0701,228.1300,1453375
2019-12-20,224.6900,230.5700,224.3908,230.2900,3297909
2019-12-19,223.7900,224.7500,222.2700,224.1300,1809317
2019-12-18,223.9700,225.6000,223.3000,224.3100,2072329
2019-12-17,225.8300,226.4400,221.4550,222.9800,2311282
2019-12-16,224.7200,227.3200,223.7600,225.3500,2771723
2019-12-13,220.4300,225.5000,218.8101,223.5500,5235093
2019-12-12,226.0500,228.8200,218.1800,224.4700,11290618
2019-12-11,229.9000,235.4961,228.0000,233.1900,5349572
2019-12-10,231.6700,231.7000,227.0700,229.6500,2925406
2019-12-09,232.0300,233.5300,230.2300,230.8800,2142526
2019-12-06,232.5600,233.1200,229.0600,229.3800,1924583
2019-12-05,227.5000,230.8200,226.2800,230.7900,1390247
2019-12-04,225.0000,226.3300,223.4800,225.5800,1555791
2019-12-03,222.5700,223.9900,220.9000,223.1900,1471440
2019-12-02,226.2500,226.9999,222.8100,225.5300,1421746
2019-11-29,228.7350,228.8400,225.5700,225.6900,783515
2019-11-27,223.8900,229.6500,223.0400,228.8300,1774630
2019-11-26,223.2600,225.0100,220.2500,222.8400,1522024
2019-11-25,222.0300,226.6600,222.0000,222.1600,1814868
2019-11-22,218.0000,220.0000,215.1100,219.9000,1998779
2019-11-21,216.9800,218.9000,216.5100,216.7400,978319
2019-11-20,216.8400,218.0600,215.3300,217.0400,1534639
2019-11-19,217.7900,219.9700,216.5100,216.8800,1731043
2019-11-18,214.5000,219.0800,213.9140,218.4600,2023672
2019-11-15,214.3100,216.0500,212.2600,215.9100,1492783
2019-11-14,210.0400,213.6400,210.0000,213.2200,1253282
2019-11-13,207.5900,211.3100,206.9600,211.1100,1740785
2019-11-12,207.1800,208.7400,206.6700,207.8100,1728112
2019-11-11,203.2500,207.1900,202.6900,207.1900,1262687
2019-11-08,202.5800,204.3100,202.2700,204.1300,1302726
2019-11-07,202.0000,203.5500,200.9000,202.8200,1791363
2019-11-06,196.9800,200.9000,194.2900,200.7400,2484817
2019-11-05,197.0000,197.8899,191.2100,194.3400,2104589
2019-11-04,203.8900,204.0000,194.1500,196.4800,2671017
2019-11-01,205.1800,205.6600,199.2300,200.6900,2010645
2019-10-31,205.3500,207.4000,203.1500,204.2700,1802479
2019-10-30,205.7700,206.1100,204.3000,205.8500,1283630
2019-10-29,206.1300,207.4800,204.6600,205.5800,1179086
2019-10-28,203.9000,207.5300,203.0000,205.9700,2417692
2019-10-25,206.3500,208.0600,205.0000,208.0000,993525
2019-10-24,205.2200,206.8800,204.9100,206.8400,838362
2019-10-23,204.0500,206.4200,203.5000,205.4600,1072758
2019-10-22,206.4200,207.1700,203.9600,204.4000,1045232
2019-10-21,207.1600,207.6458,203.0000,205.2800,1563429
2019-10-18,203.7000,209.0200,203.3100,207.1100,2344623
2019-10-17,204.8000,205.6500,204.2300,204.9600,1309839
2019-10-16,202.3600,203.9300,201.6700,203.0800,1452582
2019-10-15,203.4000,205.4000,202.3110,203.8900,2065306
2019-10-14,201.8900,205.1100,201.2400,203.0400,1850606
2019-10-11,199.5500,202.9800,199.5500,201.6200,2293478
2019-10-10,192.2800,198.2200,191.6125,198.1300,2474343
2019-10-09,193.8500,194.5000,192.0000,192.1600,922941
2019-10-08,190.0600,194.2400,188.9400,191.3700,1157907
2019-10-07,191.9200,193.4000,190.8100,191.6600,1168224
2019-10-04,190.4500,193.4300,189.9450,193.1200,1200477
2019-10-03,188.7600,190.3000,185.3600,190.1500,1400034
2019-10-02,190.9200,191.7500,187.1200,189.1300,1353644
2019-10-01,193.4100,194.0700,191.3200,192.6900,1324128
2019-09-30,190.3200,193.4100,190.0500,192.5300,1235825
2019-09-27,192.6800,192.9600,188.5500,189.7200,1162333
2019-09-26,192.3600,193.9300,189.6400,191.5400,965834
2019-09-25,193.9400,195.1000,190.5700,193.0200,1376055
2019-09-24,196.4500,196.7900,190.7354,193.8500,2033872
2019-09-23,190.7000,195.8700,190.7000,195.1800,2375205
2019-09-20,194.0800,196.0400,189.1800,189.3000,2454597
2019-09-19,195.7000,196.0600,193.1700,193.6100,1336730
2019-09-18,195.4600,197.1600,192.6500,195.3600,1423247
2019-09-17,193.5000,197.3300,193.3800,195.4700,1222983
2019-09-16,194.1600,194.9100,192.1200,193.7000,1310840
2019-09-13,198.8000,199.4199,194.8600,195.1800,1512722
2019-09-12,198.1700,201.5500,196.8800,198.7300,2322489
2019-09-11,193.0200,198.7800,192.0000,196.4100,2173622
2019-09-10,194.2900,194.2900,190.9000,193.2600,2538282
2019-09-09,203.5100,203.7600,194.0600,194.3900,3878614
2019-09-06,197.7900,204.4400,197.7500,203.1400,10969415
2019-09-05,184.0000,188.9500,183.8750,188.4100,5919838
2019-09-04,180.6500,181.8600,179.9900,180.7000,2111422
2019-09-03,183.5300,184.2600,178.2600,179.5400,2558651
2019-08-30,187.4800,187.7405,182.5850,184.6700,1240021
2019-08-29,184.8300,187.1999,184.1600,186.0600,1423914
2019-08-28,179.2500,183.0798,178.5300,182.7000,892980
2019-08-27,182.9500,183.8000,179.8000,180.1100,1428671
2019-08-26,182.9800,182.9800,180.1608,182.3500,805446
2019-08-23,183.0000,184.1200,178.8300,180.0300,1654533
2019-08-22,183.8800,185.1200,180.7800,183.9700,1072244
2019-08-21,182.0000,183.5300,179.9050,183.3300,971617
2019-08-20,178.8400,180.6000,177.2400,179.6700,1039194
2019-08-19,179.9500,181.0300,177.3700,178.6700,1181520
2019-08-16,177.5100,179.5400,176.1800,177.8300,995738
2019-08-15,176.2000,176.3484,172.4355,175.4400,1140876
2019-08-14,176.0500,176.8550,174.0100,174.6800,1770821
2019-08-13,177.6200,183.7200,176.4200,179.5900,1689839
2019-08-12,182.0000,182.0500,177.6600,178.8200,965449
2019-08-09,185.3500,186.0000,180.9400,182.8200,950678
2019-08-08,182.6000,186.8800,182.2600,186.3500,1481180
2019-08-07,177.4400,181.5900,176.0195,181.3600,1009349
2019-08-06,176.5000,180.4600,175.8200,179.6300,1371873
2019-08-05,173.6000,176.5500,172.1200,174.4600,2364523
2019-08-02,184.6000,184.8900,177.6000,178.9300,1937682
2019-08-01,191.2800,192.1500,184.0700,185.4500,1662265
2019-07-31,191.0000,194.2500,189.0390,191.0900,1256831
2019-07-30,190.9800,193.4600,189.4641,191.7700,1075517
2019-07-29,190.6700,192.3400,188.6800,192.0900,841828
2019-07-26,192.2500,192.7400,189.8100,190.6100,898984
2019-07-25,192.9500,193.7100,190.7000,191.2100,1017280
2019-07-24,189.0700,192.4200,189.0664,192.2100,1067781
2019-07-23,189.0000,189.8400,186.7100,189.0700,1040806
2019-07-22,189.4600,189.6600,186.0800,187.7500,970187
2019-07-19,190.1000,190.5475,187.8800,187.9400,952796
2019-07-18,189.5600,190.5000,187.1000,189.3900,1115243
2019-07-17,190.3300,190.9600,188.9900,190.3800,959653
2019-07-16,189.3200,191.1400,187.6700,190.1800,1430112
2019-07-15,189.7200,191.4400,186.7500,189.1700,1815696
2019-07-12,185.0000,190.5200,184.6101,189.5200,3094759
2019-07-11,183.7100,184.4100,181.6000,183.0700,1244646
2019-07-10,187.0000,187.3200,183.1600,183.8700,1466951
2019-07-09,184.9300,186.5000,183.9000,186.0500,2323075
2019-07-08,181.8600,186.9500,181.6000,186.8000,1882988
2019-07-05,183.2000,183.4621,180.7000,183.2100,1511717
2019-07-03,181.5100,184.4700,180.8000,183.9900,1178847
2019-07-02,179.9500,182.7000,179.5900,180.8600,1859577
2019-07-01,182.3300,183.8300,179.3100,179.9500,1814231
2019-06-28,181.0000,181.1083,178.6500,180.2100,3067023
2019-06-27,177.7200,180.6862,177.0900,180.1100,1410696
