epoch,loss,val_loss
0,nan,nan
1,nan,nan
2,nan,nan
3,nan,nan
4,nan,nan
5,nan,nan
6,nan,nan
7,nan,nan
8,nan,nan
9,nan,nan
10,nan,nan
11,nan,nan
12,nan,nan
13,nan,nan
14,nan,nan
15,nan,nan
16,nan,nan
17,nan,nan
18,nan,nan
19,nan,nan
20,nan,nan
21,nan,nan
22,nan,nan
23,nan,nan
24,nan,nan
25,nan,nan
26,nan,nan
27,nan,nan
28,nan,nan
29,nan,nan
30,nan,nan
31,nan,nan
32,nan,nan
33,nan,nan
34,nan,nan
35,nan,nan
36,nan,nan
37,nan,nan
38,nan,nan
39,nan,nan
40,nan,nan
41,nan,nan
42,nan,nan
43,nan,nan
44,nan,nan
45,nan,nan
46,nan,nan
47,nan,nan
48,nan,nan
49,nan,nan
50,nan,nan
51,nan,nan
52,nan,nan
53,nan,nan
54,nan,nan
55,nan,nan
56,nan,nan
57,nan,nan
58,nan,nan
59,nan,nan
0,nan,nan
1,nan,nan
2,nan,nan
3,nan,nan
4,nan,nan
5,nan,nan
6,nan,nan
7,nan,nan
8,nan,nan
9,nan,nan
10,nan,nan
11,nan,nan
12,nan,nan
13,nan,nan
14,nan,nan
15,nan,nan
16,nan,nan
17,nan,nan
18,nan,nan
19,nan,nan
20,nan,nan
21,nan,nan
22,nan,nan
23,nan,nan
24,nan,nan
25,nan,nan
26,nan,nan
27,nan,nan
28,nan,nan
29,nan,nan
30,nan,nan
31,nan,nan
32,nan,nan
33,nan,nan
34,nan,nan
35,nan,nan
36,nan,nan
37,nan,nan
38,nan,nan
39,nan,nan
40,nan,nan
41,nan,nan
42,nan,nan
43,nan,nan
44,nan,nan
45,nan,nan
46,nan,nan
47,nan,nan
48,nan,nan
49,nan,nan
50,nan,nan
51,nan,nan
52,nan,nan
53,nan,nan
54,nan,nan
55,nan,nan
56,nan,nan
57,nan,nan
58,nan,nan
59,nan,nan
0,0.10672007104019737,0.006273786770179868
1,0.08884047022244583,0.006884581875056028
2,0.03729670062117899,0.007661435753107071
3,0.022867698878851823,0.005820038262754679
4,0.02143082583400731,0.005776825360953808
5,0.01522677687333069,0.005053946515545249
6,0.01265921905319879,0.005195885198190808
7,0.011300756280737309,0.005487018497660756
8,0.008818718218309287,0.004819983616471291
9,0.009178826677574156,0.005737726576626301
10,0.00830191337930349,0.00569518213160336
11,0.006926834846833824,0.006982642458751798
12,0.006952065733558912,0.0072134328074753284
13,0.0056312308847231585,0.006041492335498333
14,0.0051140684421019005,0.007479697000235319
15,0.005651356969287412,0.006220703478902578
16,0.004593638672506333,0.0076384162530303
17,0.005169529443567929,0.006487712496891618
18,0.004630158427365434,0.007542149629443884
19,0.004293664373108186,0.007239563390612602
20,0.0037893859520813245,0.004218151560053229
21,0.003844015324527087,0.004804925061762333
22,0.003546073098227175,0.005905649624764919
23,0.0034903772644207087,0.004106564447283745
24,0.003367181568238367,0.005198057275265455
25,0.0034253202563074106,0.006759083829820156
26,0.0032075055302508795,0.004960478516295552
27,0.003107308993801578,0.0061898501589894295
28,0.0027493730918245595,0.004208113299682736
29,0.00275668958945769,0.004557500360533595
30,0.003155895295397689,0.006305645918473601
31,0.002925116078889308,0.00423773389775306
32,0.00278646024202721,0.00376783253159374
33,0.002359837464205662,0.005399058572947979
34,0.002505884863947156,0.004078439204022288
35,0.0024490364044646006,0.0034263385459780693
36,0.0022352618907461874,0.005227886373177171
37,0.0027858359810327077,0.007474927930161357
38,0.0020907120722565902,0.003208389040082693
39,0.0023396688460100754,0.006794166984036565
40,0.0024561455049681375,0.0032143243588507175
41,0.0017576794101235766,0.0032786353258416057
42,0.0019538981901455876,0.0031832315726205707
43,0.0017922803769276168,0.003624826204031706
44,0.0019184603265279697,0.0035335306311026216
45,0.0016091505450377655,0.0031329775229096413
46,0.002465030608517635,0.006331756012514234
47,0.0019437535374891013,0.004142684396356344
48,0.002093416152800071,0.005699041066691279
49,0.0020484520452252277,0.003704323433339596
50,0.001518456297667904,0.003004619968123734
51,0.0019062797736195433,0.005965187447145581
52,0.0016766791563390547,0.002880428801290691
53,0.001527629893745244,0.002931386115960777
54,0.0014460492982632583,0.0036087592598050833
55,0.001566117185575422,0.00465998868457973
56,0.001694150139681167,0.0029023020761087537
57,0.001589105264025016,0.002908749505877495
